", , Tahun 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klasifikasi Kelompok Umur ,Perkotaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perdesaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,,Laki-laki,,,,,,,,,,Perempuan,,,,,,,,,,Total,,,,,,,,,
,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total,Belum/Tidak Pernah Sekolah,Belum/Tidak Tamat SD/SDLB/MI/Paket A,SD/SDLB/MI/Paket A,SMP/SMPLB/MTs/Paket B,SMA/SMALB/MA/SMK/MAK/Paket C,DI/DII/DIII,DIV/S1,Profesi,S2/S3,Total
5-9,1622825.00,4633490.00,,,,,,,,6256315.00,1563719.00,4438419.00,,,,,,,,6002138.00,3186543.00,9071909.00,,,,,,,,12258453.00,1263920.00,3722005.00,,,,,,,,4985925.00,1209047.00,3560343.00,,,,,,,,4769390.00,2472968.00,7282348.00,,,,,,,,9755315.00,2886745.00,8355495.00,,,,,,,,11242240.00,2772766.00,7998762.00,,,,,,,,10771528.00,5659511.00,16354257.00,,,,,,,,22013768.00
10-14,129081.00,3019107.00,2883864.00,275935.00,,,,,,6307987.00,113152.00,2786371.00,2783204.00,291503.00,,,,,,5974230.00,242233.00,5805478.00,5667067.00,567438.00,,,,,,12282216.00,117324.00,2525016.00,2234848.00,171070.00,,,,,,5048258.00,101490.00,2294047.00,2176866.00,185796.00,,,,,,4758198.00,218814.00,4819063.00,4411714.00,356866.00,,,,,,9806457.00,246405.00,5544123.00,5118711.00,447005.00,,,,,,11356245.00,214642.00,5080418.00,4960070.00,477299.00,,,,,,10732428.00,461047.00,10624541.00,10078781.00,924304.00,,,,,,22088673.00
15-19,40951.00,168588.00,913343.00,3304983.00,1912515.00,6693.00,1466.00,,,6348540.00,34759.00,129033.00,720560.00,3095685.00,2003228.00,7546.00,1474.00,,,5992285.00,75710.00,297622.00,1633904.00,6400668.00,3915743.00,14239.00,2940.00,,,12340825.00,75421.00,190700.00,1034689.00,2662323.00,1118269.00,2370.00,634.00,,,5084405.00,61516.00,141852.00,815000.00,2529305.00,1186190.00,3513.00,922.00,,,4738298.00,136937.00,332552.00,1849689.00,5191628.00,2304459.00,5883.00,1556.00,,,9822703.00,116372.00,359288.00,1948033.00,5967306.00,3030784.00,9062.00,2100.00,,,11432945.00,96275.00,270885.00,1535560.00,5624990.00,3189418.00,11059.00,2396.00,,,10730583.00,212646.00,630173.00,3483593.00,11592296.00,6220202.00,20121.00,4496.00,,,22163528.00
20-24,33165.00,105089.00,502447.00,962877.00,4471226.00,102888.00,262956.00,2768.00,2382.00,6445799.00,25233.00,73472.00,373016.00,856831.00,4186298.00,172361.00,462851.00,3255.00,3400.00,6156717.00,58398.00,178562.00,875463.00,1819708.00,8657524.00,275249.00,725807.00,6023.00,5782.00,12602516.00,90388.00,170356.00,762581.00,1229777.00,2724857.00,34834.00,93204.00,865.00,440.00,5107302.00,78484.00,125013.00,640828.00,1143216.00,2497791.00,81436.00,211229.00,1744.00,870.00,4780610.00,168872.00,295368.00,1403409.00,2372993.00,5222648.00,116269.00,304433.00,2609.00,1310.00,9887912.00,123554.00,275445.00,1265028.00,2192654.00,7196083.00,137722.00,356160.00,3633.00,2822.00,11553101.00,103717.00,198485.00,1013844.00,2000047.00,6684088.00,253797.00,674080.00,4999.00,4270.00,10937327.00,227271.00,473930.00,2278872.00,4192701.00,13880172.00,391518.00,1030240.00,8632.00,7092.00,22490428.00
25-29,35747.00,96382.00,677732.00,1074616.00,3540883.00,202914.00,816684.00,5583.00,25150.00,6475692.00,29317.00,68062.00,592744.00,1136701.00,2949579.00,341791.00,1078001.00,11134.00,34828.00,6242157.00,65064.00,164444.00,1270476.00,2211317.00,6490462.00,544705.00,1894685.00,16717.00,59978.00,12717849.00,102143.00,168337.00,1051428.00,1281235.00,2021672.00,69732.00,308725.00,1733.00,5057.00,5010063.00,91212.00,135073.00,948633.00,1322534.00,1632777.00,156977.00,437704.00,3830.00,7048.00,4735788.00,193355.00,303410.00,2000062.00,2603770.00,3654448.00,226709.00,746430.00,5563.00,12105.00,9745851.00,137889.00,264720.00,1729161.00,2355852.00,5562555.00,272646.00,1125410.00,7316.00,30207.00,11485755.00,120529.00,203135.00,1541377.00,2459235.00,4582356.00,498768.00,1515705.00,14964.00,41876.00,10977945.00,258418.00,467854.00,3270538.00,4815087.00,10144911.00,771413.00,2641115.00,22280.00,72083.00,22463700.00
30-34,37309.00,107747.00,909710.00,1135292.00,3047550.00,244439.00,836775.00,6981.00,48934.00,6374738.00,32716.00,98200.00,871238.00,1249117.00,2577913.00,380898.00,921916.00,8927.00,49393.00,6190319.00,70025.00,205947.00,1780948.00,2384409.00,5625463.00,625337.00,1758691.00,15908.00,98328.00,12565056.00,115749.00,211652.00,1426997.00,1264827.00,1448940.00,72449.00,291469.00,1382.00,7233.00,4840699.00,116550.00,199058.00,1413831.00,1314997.00,1140499.00,137805.00,330413.00,1608.00,6319.00,4661079.00,232299.00,410710.00,2840827.00,2579824.00,2589439.00,210254.00,621882.00,2990.00,13552.00,9501779.00,153058.00,319399.00,2336707.00,2400119.00,4496491.00,316888.00,1128244.00,8364.00,56168.00,11215437.00,149267.00,297258.00,2285069.00,2564114.00,3718412.00,518703.00,1252329.00,10534.00,55712.00,10851398.00,302325.00,616657.00,4621775.00,4964233.00,8214902.00,835591.00,2380573.00,18898.00,111880.00,22066835.00
35-39,37654.00,125769.00,1032898.00,1202814.00,2756282.00,229159.00,706718.00,4858.00,55730.00,6151882.00,37414.00,126814.00,1096511.00,1316104.00,2340712.00,335294.00,730494.00,6653.00,44097.00,6034093.00,75069.00,252583.00,2129409.00,2518918.00,5096994.00,564453.00,1437212.00,11511.00,99827.00,12185975.00,127057.00,241540.00,1625859.00,1222818.00,1122377.00,56969.00,187774.00,1237.00,5752.00,4591384.00,136673.00,246112.00,1686765.00,1242956.00,832361.00,95739.00,224215.00,1763.00,4030.00,4470615.00,263730.00,487652.00,3312624.00,2465774.00,1954738.00,152708.00,411989.00,3001.00,9782.00,9061999.00,164711.00,367309.00,2658757.00,2425632.00,3878660.00,286127.00,894492.00,6095.00,61482.00,10743266.00,174087.00,372926.00,2783276.00,2559060.00,3173073.00,431034.00,954709.00,8416.00,48127.00,10504708.00,338798.00,740235.00,5442033.00,4984692.00,7051732.00,717161.00,1849201.00,14512.00,109609.00,21247974.00
40-44,43017.00,143474.00,1199861.00,1131802.00,2456495.00,215331.00,599725.00,3955.00,55636.00,5849296.00,47327.00,174920.00,1404642.00,1187647.00,2069740.00,287004.00,585464.00,5274.00,41035.00,5803052.00,90344.00,318394.00,2604503.00,2319448.00,4526235.00,502336.00,1185188.00,9229.00,96671.00,11652348.00,150155.00,278891.00,1810526.00,1041830.00,903054.00,43277.00,123868.00,807.00,5395.00,4357803.00,162239.00,320049.00,2015273.00,943484.00,640047.00,57389.00,142317.00,1541.00,2702.00,4285040.00,312394.00,598941.00,3825798.00,1985314.00,1543101.00,100666.00,266185.00,2348.00,8097.00,8642843.00,193172.00,422365.00,3010387.00,2173631.00,3359549.00,258608.00,723593.00,4762.00,61031.00,10207099.00,209566.00,494970.00,3419914.00,2131131.00,2709786.00,344393.00,727780.00,6814.00,43738.00,10088092.00,402738.00,917335.00,6430301.00,4304762.00,6069336.00,603001.00,1451373.00,11577.00,104768.00,20295191.00
45-49,48575.00,161968.00,1324672.00,1002253.00,2089126.00,169271.00,505941.00,3916.00,58748.00,5364470.00,63348.00,218712.00,1636424.00,1025289.00,1743900.00,204169.00,443552.00,4125.00,37213.00,5376730.00,111922.00,380680.00,2961096.00,2027542.00,3833025.00,373440.00,949493.00,8041.00,95961.00,10741200.00,143495.00,292015.00,1891690.00,825526.00,732822.00,29383.00,92087.00,1040.00,5941.00,4013998.00,177820.00,359951.00,2126395.00,704223.00,474280.00,33744.00,91383.00,1049.00,3200.00,3972044.00,321315.00,651966.00,4018084.00,1529749.00,1207102.00,63126.00,183470.00,2089.00,9141.00,7986042.00,192070.00,453983.00,3216362.00,1827780.00,2821948.00,198654.00,598028.00,4956.00,64689.00,9378468.00,241168.00,578662.00,3762819.00,1729512.00,2218180.00,237912.00,534935.00,5174.00,40412.00,9348774.00,433237.00,1032645.00,6979180.00,3557292.00,5040127.00,436566.00,1132963.00,10130.00,105102.00,18727242.00
